,kde_clusters,kde_clusters_at_cargo,graph_clusters,graph_clusters_at_cargo,potential_strength_r11_r11,potential_strength_cargo_r11,potential_strength_cargo_r11_avidity,kb_temperature_r11,iteration,output_path
107,2.0,1.0,7,7,0.02857142857142857,0.02857142857142857,0.03428571428571429,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00002934
108,1.0,0.0,4,4,0.017142857142857144,0.022857142857142857,0.03428571428571429,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00001845
109,,,17,17,0.005714285714285714,0.022857142857142857,0.02857142857142857,0.01,50000,out/autophagy/explore_parameter_space_00000815
110,2.0,1.0,11,11,0.022857142857142857,0.011428571428571429,0.0,0.01,50000,out/autophagy/explore_parameter_space_00002183
111,,,13,13,0.022857142857142857,0.011428571428571429,0.011428571428571429,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00002197
112,3.0,1.0,7,7,0.017142857142857144,0.02857142857142857,0.017142857142857144,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00001881
113,3.0,2.0,5,5,0.022857142857142857,0.02857142857142857,0.017142857142857144,0.002857142857142857,50000,out/autophagy/explore_parameter_space_00002394
114,,,58,58,0.0,0.017142857142857144,0.03428571428571429,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00000245
115,,,17,17,0.005714285714285714,0.04,0.011428571428571429,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00000982
116,1.0,0.0,11,11,0.02857142857142857,0.03428571428571429,0.017142857142857144,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00002971
117,1.0,0.0,2,2,0.017142857142857144,0.017142857142857144,0.03428571428571429,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00001780
118,1.0,0.0,14,14,0.011428571428571429,0.02857142857142857,0.0,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00001348
119,3.0,2.0,5,5,0.022857142857142857,0.02857142857142857,0.04,0.01,50000,out/autophagy/explore_parameter_space_00002431
120,3.0,2.0,4,4,0.011428571428571429,0.017142857142857144,0.04,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00001278
121,12.0,1.0,58,58,0.005714285714285714,0.005714285714285714,0.0,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00000581
122,1.0,0.0,6,6,0.005714285714285714,0.017142857142857144,0.005714285714285714,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00000715
123,5.0,2.0,26,26,0.011428571428571429,0.0,0.0,0.0,50000,out/autophagy/explore_parameter_space_00001024
124,,,20,20,0.005714285714285714,0.0,0.03428571428571429,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00000564
125,2.0,1.0,5,5,0.02857142857142857,0.011428571428571429,0.005714285714285714,0.01,50000,out/autophagy/explore_parameter_space_00002703
126,3.0,2.0,12,12,0.02857142857142857,0.022857142857142857,0.022857142857142857,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00002853
127,6.0,2.0,9,9,0.005714285714285714,0.017142857142857144,0.011428571428571429,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00000721
128,7.0,1.0,87,87,0.0,0.04,0.011428571428571429,0.0,50000,out/autophagy/explore_parameter_space_00000464
129,1.0,0.0,12,12,0.022857142857142857,0.011428571428571429,0.04,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00002235
130,1.0,0.0,6,6,0.011428571428571429,0.022857142857142857,0.022857142857142857,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00001316
131,,,86,86,0.0,0.0,0.03428571428571429,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00000051
132,8.0,2.0,28,28,0.02857142857142857,0.017142857142857144,0.04,0.0,50000,out/autophagy/explore_parameter_space_00002808
133,2.0,0.0,2,2,0.017142857142857144,0.04,0.02857142857142857,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00002027
134,3.0,1.0,39,39,0.011428571428571429,0.011428571428571429,0.0,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00001158
135,1.0,0.0,31,31,0.017142857142857144,0.022857142857142857,0.005714285714285714,0.01,50000,out/autophagy/explore_parameter_space_00001807
136,5.0,2.0,8,8,0.022857142857142857,0.03428571428571429,0.03428571428571429,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00002481
137,4.0,1.0,7,7,0.017142857142857144,0.005714285714285714,0.03428571428571429,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00001649
138,,,17,17,0.017142857142857144,0.005714285714285714,0.04,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00001661
139,4.0,1.0,8,8,0.022857142857142857,0.0,0.022857142857142857,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00002081
140,1.0,0.0,8,8,0.022857142857142857,0.04,0.011428571428571429,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00002516
141,5.0,1.0,12,12,0.005714285714285714,0.017142857142857144,0.005714285714285714,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00000716
